pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_bmassprov,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_density,pl_name,planet_type,discovery_mission,discoveries_by_mission,planets_in_system,pl_orbper_norm,pl_orbsmax_norm,pl_orbeccen_norm,pl_bmassj_norm,pl_radj_norm,pl_density_norm,st_dist_norm,st_optmag_norm,st_teff_norm,st_mass_norm,st_rad_norm,pl_discmethod_cod,pl_letter_cod,pl_bmassprov_cod,st_optband_cod
BD+20 2457,b,Radial Velocity,2,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,154.18691,19.891409,511.5,9.75,V (Johnson),4137.0,1.4500000000000002,1.73,,BD+20 2457 b,,Otra misión/Terrestre,914,2,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.16841031429067543,0.03817957166392083,1.0,1.0,7,0,2,1
BD+20 2457,c,Radial Velocity,2,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,154.18691,19.891409,511.5,9.75,V (Johnson),4137.0,1.4500000000000002,1.73,,BD+20 2457 c,,Otra misión/Terrestre,914,2,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.16841031429067543,0.03817957166392083,1.0,1.0,7,1,2,1
BD+20 274,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,25.920324,21.005314,511.5,9.36,V (Johnson),4296.0,0.8,1.73,,BD+20 274 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.13455026914394852,0.09056836902800658,0.32291666666666674,1.0,7,0,2,1
BD+20 594,b,Transit,1,41.6855,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.199,0,0,1,53.650966,20.599232,152.1,11.038,V (Johnson),5766.0,0.96,0.93,6.508388512091528,BD+20 594 b,Rocoso/Compacto,K2,129,1,0.4155250095124431,1.0,0.0,0.0,0.4398976982097187,0.0022287511513187355,0.11270665536244172,0.2802352839034554,0.5749176276771004,0.48958333333333326,0.44444444444444453,8,0,0,1
BD+48 738,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,40.710224,49.58696,511.5,9.14,V (Johnson),4414.0,0.74,1.73,,BD+48 738 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.11544973085605137,0.12944810543657326,0.26041666666666674,1.0,7,0,2,1
BD+49 828,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,45.640529,49.730011,511.5,9.38,V (Johnson),4943.0,1.4500000000000002,1.73,,BD+49 828 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.13628668171557567,0.30374794069192745,1.0,1.0,7,0,2,1
BD-06 1339,b,Radial Velocity,2,3.8728,0.0428,0.1065,1.0150000000000001,Msini,0.203,0,0,0,88.251183,-5.994844,20.1,9.7,V (Johnson),4324.0,0.7,0.98,,BD-06 1339 b,,Otra misión/Terrestre,914,2,0.03778248152356809,0.05320719269994628,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.012785381214800464,0.16406928286160782,0.09979406919275124,0.2187500000000001,0.47916666666666663,7,0,2,1
BD-06 1339,c,Radial Velocity,2,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,88.251183,-5.994844,20.1,9.7,V (Johnson),4324.0,0.7,0.98,,BD-06 1339 c,,Otra misión/Terrestre,914,2,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.012785381214800464,0.16406928286160782,0.09979406919275124,0.2187500000000001,0.47916666666666663,7,1,2,1
BD-08 2823,b,Radial Velocity,2,5.6,0.056,0.1065,1.0150000000000001,Msini,0.203,0,0,0,150.198837,-9.51668,42.09,9.88,V (Johnson),4746.0,0.74,0.98,,BD-08 2823 b,,Otra misión/Terrestre,914,2,0.055036919697578006,0.12406065485775628,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.029431357112577976,0.1796969960062511,0.23883855024711687,0.26041666666666674,0.47916666666666663,7,0,2,1
BD-08 2823,c,Radial Velocity,2,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,150.198837,-9.51668,42.09,9.88,V (Johnson),4746.0,0.74,0.98,,BD-08 2823 c,,Otra misión/Terrestre,914,2,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.029431357112577976,0.1796969960062511,0.23883855024711687,0.26041666666666674,0.47916666666666663,7,1,2,1
BD-10 3166,b,Radial Velocity,1,3.48777,0.0452,0.1065,1.0150000000000001,Msini,0.203,0,0,0,164.620003,-10.770376,80.0,10.08,V (Johnson),5393.0,1.01,0.98,,BD-10 3166 b,,Otra misión/Terrestre,914,1,0.03393609643201005,0.06608964036500264,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.0581284442560407,0.19706112172252122,0.45201812191103796,0.5416666666666667,0.47916666666666663,7,0,2,1
BD-11 4672,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,278.370148,-11.636039,27.3,9.99,V (Johnson),4475.0,0.57,0.52,,BD-11 4672 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.01823563253194453,0.18924726515019963,0.14954695222405268,0.08333333333333348,0.15972222222222227,7,0,2,1
BD-13 2130,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,114.288458,-13.906639,766.0,9.45,V (Johnson),5626.0,1.4500000000000002,0.98,,BD-13 2130 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.5774162780839339,0.1423641257162701,0.5287891268533773,1.0,0.47916666666666663,7,0,2,1
